Class,CBO,LOC,OCavg,RFC,WMC
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cvr,3,9,1,5,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Div,3,10,1,5,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Exp,3,11,1,6,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Floor,3,16,2,6,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.IDiv,3,10,1,4,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Ln,3,9,1,6,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Log,3,9,1,6,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mod,3,10,1,4,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mul,3,26,3,6,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,24,3,6,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Round,3,16,2,7,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sin,3,10,1,6,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sqrt,3,13,2,6,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sub,3,27,3,6,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Truncate,3,16,2,6,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators,0,11,1,1,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.AbstractLogicalOperator,5,30,3,7,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,14,1,2,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Bitshift,3,20,2,5,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.False,3,9,1,3,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Not,3,25,3,5,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Or,2,14,1,2,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,9,1,3,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Xor,2,14,1,2,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators,0,11,1,1,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.If,4,14,2,4,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.IfElse,4,19,2,4,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext,42,60,1,9,6
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence,8,82,1.67,17,10
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder,6,95,1.62,26,13
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Operator,0,0,0,1,0
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Operators,47,110,1,5,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Parser,3,23,1,4,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Parser.AbstractSyntaxHandler,2,24,1,3,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Parser.State,1,5,0,2,0
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Parser.SyntaxHandler,0,0,0,4,0
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.Parser.Tokenizer,3,192,3.09,20,34
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators,0,11,1,1,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.AbstractNumberComparisonOperator,6,15,1,5,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Eq,4,27,1.5,7,3
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2,9,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Gt,2,9,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2,9,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Lt,2,9,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ne,2,10,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators,0,11,1,1,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Copy,3,17,2,8,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup,3,9,1,4,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Exch,3,12,1,4,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,3,15,2,8,2
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Pop,3,9,1,3,1
2.0.27-org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Roll,3,50,8,8,8
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDAttributeObject,15,196,1.93,35,27
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDDefaultAttributeObject,5,96,1.71,28,12
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkInfo,4,94,1,12,9
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkedContentReference,6,81,1.12,15,9
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference,10,105,1.67,13,10
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDParentTreeValue,6,28,1,6,4
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement,21,678,2.05,98,90
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode,14,364,2.83,45,51
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureTreeRoot,15,178,1.54,32,20
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDUserAttributeObject,6,97,1.38,23,11
2.0.27-org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDUserProperty,5,183,1.6,30,24
